Year,Weight grams,Length mm,Nesting area,days_alive,Initial_Mass g,interval_days,Initial_length mm,NDVI,Mean_Temp C,Rain cm
2019,91.0,78.0,Cerro Fatal 1,12.0,91.0,11.0,76.0,5196.267049,27.57886905,9.428571429
2019,117.0,81.0,Cerro Fatal 1,22.0,91.0,10.0,78.0,5196.267049,27.57886905,9.428571429
2019,130.0,83.0,Cerro Fatal 1,36.0,117.0,14.0,81.0,4763.622445,28.37096774,1.05
2019,129.0,84.0,Cerro Fatal 1,47.0,130.0,11.0,83.0,4763.622445,28.37096774,1.05
2019,136.0,86.0,Cerro Fatal 1,62.0,129.0,15.0,84.0,4630.610938,28.1840796,9.652173913
2019,136.0,88.0,Cerro Fatal 1,76.0,136.0,14.0,86.0,4630.610938,28.1840796,9.652173913
2019,170.0,94.0,Cerro Fatal 1,119.0,150.0,15.0,93.0,4274.787695,24.08016878,0.5
2019,164.0,94.0,Cerro Fatal 1,131.0,170.0,12.0,94.0,4274.787695,24.08016878,0.5
2019,165.0,94.0,Cerro Fatal 1,149.0,164.0,18.0,94.0,4225.973698,22.04905914,8.684210526
2019,145.0,94.0,Cerro Fatal 1,167.0,165.0,18.0,94.0,4225.973698,22.04905914,8.684210526
2019,119.0,95.0,Cerro Fatal 1,187.0,145.0,20.0,94.0,4173.347144,21.39717742,0.782608696
2019,174.0,95.0,Cerro Fatal 1,210.0,119.0,23.0,95.0,3637.453064,21.36627907,1.178571429
2019,167.0,96.0,Cerro Fatal 1,223.0,174.0,13.0,95.0,3637.453064,21.36627907,1.178571429
2019,141.0,97.0,Cerro Fatal 1,272.0,163.0,20.0,97.0,4380.851709,22.77888889,0.321428571
2019,134.0,97.0,Cerro Fatal 1,285.0,141.0,13.0,97.0,4380.851709,22.77888889,0.321428571
2019,153.0,97.0,Cerro Fatal 1,300.0,134.0,15.0,97.0,5749.721159,23.87634409,0.444444444
2019,150.0,97.0,Cerro Fatal 1,313.0,153.0,13.0,97.0,5749.721159,23.87634409,0.444444444
2020,157.0,98.0,Cerro Fatal 1,334.0,150.0,21.0,97.0,4194.466146,25.91061828,3.677419355
2020,186.0,98.0,Cerro Fatal 1,351.0,157.0,17.0,98.0,4194.466146,25.91061828,3.677419355
2020,184.0,98.0,Cerro Fatal 1,364.0,186.0,13.0,98.0,5676.143099,27.76818182,1.0
2020,188.0,99.0,Cerro Fatal 1,378.0,184.0,14.0,98.0,5676.143099,27.76818182,1.0
2020,281.0,112.0,Cerro Fatal 1,523.0,238.0,26.0,110.0,4113.325326,20.95911215,0.535714286
2020,274.0,113.0,Cerro Fatal 1,551.0,281.0,28.0,112.0,4078.134391,20.41532258,1.0
2020,271.0,113.0,Cerro Fatal 1,582.0,274.0,31.0,113.0,3876.990202,20.60555556,0.2
2020,251.0,113.0,Cerro Fatal 1,609.0,271.0,27.0,113.0,3735.203654,21.10291595,0.1
2020,265.0,114.0,Cerro Fatal 1,638.0,251.0,29.0,113.0,3759.916943,21.90625,0.2
2020,265.0,114.0,Cerro Fatal 1,665.0,265.0,27.0,114.0,3909.403833,23.29233871,0.583333333
2021,222.0,114.0,Cerro Fatal 1,701.0,265.0,36.0,114.0,4481.528312,25.56787634,1.666666667
2021,280.0,115.0,Cerro Fatal 1,728.0,222.0,27.0,114.0,5428.576367,26.38467262,31.4
2021,360.0,123.0,Cerro Fatal 1,764.0,280.0,36.0,115.0,5333.038387,26.23924731,8.1
2021,444.0,124.0,Cerro Fatal 1,799.0,360.0,35.0,123.0,5755.918083,25.73680556,0.5
2021,410.0,124.0,Cerro Fatal 1,824.0,444.0,25.0,124.0,6137.25,24.78461538,1.0
2021,426.0,135.0,Cerro Fatal 1,852.0,410.0,28.0,124.0,5552.9125,23.5375,1.0
2021,450.0,137.0,Cerro Fatal 1,880.0,426.0,28.0,135.0,4849.426693,22.82258065,1.5
2021,434.0,137.0,Cerro Fatal 1,916.0,450.0,36.0,137.0,4539.589583,22.31877729,0.615384615
2019,84.0,76.0,Cerro Fatal 1,12.0,81.0,11.0,74.0,5196.267049,27.57886905,9.428571429
2019,107.0,79.0,Cerro Fatal 1,22.0,84.0,10.0,76.0,5196.267049,27.57886905,9.428571429
2019,114.0,79.0,Cerro Fatal 1,36.0,107.0,14.0,79.0,4763.622445,28.37096774,1.05
2019,107.0,80.0,Cerro Fatal 1,47.0,114.0,11.0,79.0,4763.622445,28.37096774,1.05
2019,117.0,80.0,Cerro Fatal 1,62.0,107.0,15.0,80.0,4630.610938,28.1840796,9.652173913
2019,116.0,82.0,Cerro Fatal 1,76.0,117.0,14.0,80.0,4630.610938,28.1840796,9.652173913
2019,116.0,85.0,Cerro Fatal 1,119.0,122.0,15.0,85.0,4274.787695,24.08016878,0.5
2019,119.0,85.0,Cerro Fatal 1,131.0,116.0,12.0,85.0,4274.787695,24.08016878,0.5
2019,124.0,85.0,Cerro Fatal 1,149.0,119.0,18.0,85.0,4225.973698,22.04905914,8.684210526
2019,126.0,85.0,Cerro Fatal 1,166.0,124.0,17.0,85.0,4225.973698,22.04905914,8.684210526
2019,123.0,85.0,Cerro Fatal 1,187.0,126.0,21.0,85.0,4173.347144,21.39717742,0.782608696
2019,116.0,85.0,Cerro Fatal 1,210.0,123.0,23.0,85.0,3637.453064,21.36627907,1.178571429
2019,114.0,85.0,Cerro Fatal 1,223.0,116.0,13.0,85.0,3637.453064,21.36627907,1.178571429
2019,119.0,85.0,Cerro Fatal 1,272.0,122.0,20.0,85.0,4380.851709,22.77888889,0.321428571
2019,109.0,85.0,Cerro Fatal 1,285.0,119.0,13.0,85.0,4380.851709,22.77888889,0.321428571
2019,112.0,85.0,Cerro Fatal 1,300.0,109.0,15.0,85.0,5749.721159,23.87634409,0.444444444
2019,107.0,85.0,Cerro Fatal 1,313.0,112.0,13.0,85.0,5749.721159,23.87634409,0.444444444
2020,118.0,85.0,Cerro Fatal 1,334.0,107.0,21.0,85.0,4194.466146,25.91061828,3.677419355
2020,136.0,86.0,Cerro Fatal 1,351.0,118.0,17.0,85.0,4194.466146,25.91061828,3.677419355
2020,140.0,86.0,Cerro Fatal 1,364.0,136.0,13.0,86.0,5676.143099,27.76818182,1.0
2020,150.0,88.0,Cerro Fatal 1,378.0,140.0,14.0,86.0,5676.143099,27.76818182,1.0
2020,229.0,103.0,Cerro Fatal 1,523.0,209.0,26.0,102.0,4113.325326,20.95911215,0.535714286
2020,231.0,104.0,Cerro Fatal 1,551.0,229.0,28.0,103.0,4078.134391,20.41532258,1.0
2020,215.0,105.0,Cerro Fatal 1,582.0,231.0,31.0,104.0,3876.990202,20.60555556,0.2
2020,204.0,105.0,Cerro Fatal 1,609.0,215.0,27.0,105.0,3735.203654,21.10291595,0.1
2020,225.0,105.0,Cerro Fatal 1,638.0,204.0,29.0,105.0,3759.916943,21.90625,0.2
2020,222.0,105.0,Cerro Fatal 1,665.0,225.0,27.0,105.0,3909.403833,23.29233871,0.583333333
2019,92.0,77.0,Cerro Fatal 1,12.0,88.0,11.0,75.0,5196.267049,27.57886905,9.428571429
2019,111.0,79.0,Cerro Fatal 1,22.0,92.0,10.0,77.0,5196.267049,27.57886905,9.428571429
2019,130.0,81.0,Cerro Fatal 1,36.0,111.0,14.0,79.0,4763.622445,28.37096774,1.05
2019,134.0,82.0,Cerro Fatal 1,47.0,130.0,11.0,81.0,4763.622445,28.37096774,1.05
2019,135.0,83.0,Cerro Fatal 1,62.0,134.0,15.0,82.0,4630.610938,28.1840796,9.652173913
2019,124.0,86.0,Cerro Fatal 1,76.0,135.0,14.0,83.0,4630.610938,28.1840796,9.652173913
2019,170.0,90.0,Cerro Fatal 1,119.0,151.0,15.0,89.0,4274.787695,24.08016878,0.5
2019,166.0,90.0,Cerro Fatal 1,131.0,170.0,12.0,90.0,4274.787695,24.08016878,0.5
2019,163.0,91.0,Cerro Fatal 1,149.0,166.0,18.0,90.0,4225.973698,22.04905914,8.684210526
2019,166.0,92.0,Cerro Fatal 1,166.0,163.0,17.0,91.0,4225.973698,22.04905914,8.684210526
2019,168.0,92.0,Cerro Fatal 1,187.0,166.0,21.0,92.0,4173.347144,21.39717742,0.782608696
2019,169.0,93.0,Cerro Fatal 1,210.0,168.0,23.0,92.0,3637.453064,21.36627907,1.178571429
2019,148.0,93.0,Cerro Fatal 1,223.0,169.0,13.0,93.0,3637.453064,21.36627907,1.178571429
2019,164.0,93.0,Cerro Fatal 1,272.0,164.0,20.0,93.0,4380.851709,22.77888889,0.321428571
2019,165.0,93.0,Cerro Fatal 1,313.0,160.0,13.0,93.0,5749.721159,23.87634409,0.444444444
2020,162.0,93.0,Cerro Fatal 1,334.0,165.0,21.0,93.0,4194.466146,25.91061828,3.677419355
2020,185.0,94.0,Cerro Fatal 1,351.0,162.0,17.0,93.0,4194.466146,25.91061828,3.677419355
2020,189.0,94.0,Cerro Fatal 1,364.0,185.0,13.0,94.0,5676.143099,27.76818182,1.0
2020,205.0,96.0,Cerro Fatal 1,378.0,189.0,14.0,94.0,5676.143099,27.76818182,1.0
2020,285.0,111.0,Cerro Fatal 1,523.0,271.0,26.0,110.0,4113.325326,20.95911215,0.535714286
2020,295.0,112.0,Cerro Fatal 1,551.0,285.0,28.0,111.0,4078.134391,20.41532258,1.0
2020,287.0,112.0,Cerro Fatal 1,582.0,295.0,31.0,112.0,3876.990202,20.60555556,0.2
2020,271.0,112.0,Cerro Fatal 1,609.0,287.0,27.0,112.0,3735.203654,21.10291595,0.1
2020,271.0,112.0,Cerro Fatal 1,638.0,271.0,29.0,112.0,3759.916943,21.90625,0.2
2020,275.0,112.0,Cerro Fatal 1,665.0,271.0,27.0,112.0,3909.403833,23.29233871,0.583333333
2021,234.0,112.0,Cerro Fatal 1,701.0,275.0,36.0,112.0,4481.528312,25.56787634,1.666666667
2021,297.0,114.0,Cerro Fatal 1,728.0,234.0,27.0,112.0,5428.576367,26.38467262,31.4
2021,397.0,123.0,Cerro Fatal 1,764.0,297.0,36.0,114.0,5333.038387,26.23924731,8.1
